dataset,model,run,train_acc,train_loss,val_acc,val_loss,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
FaceDetection,linear_conv_2_sinc_fpe,4,0.6938,0.5748,0.7097,0.5762,0.6833,0.6215,0.2675,144,2,62,4712,3524,1178,16,22.62
FaceDetection,linear_conv_5_sinc_fpe,4,0.8056,0.4337,0.7776,0.5116,0.6775,0.6708,0.2675,144,2,62,4712,3524,1178,17,24.23
FaceDetection,linear_no_pe,5,0.5528,0.6853,0.539,0.6923,0.6927,0.5219,0.2662,144,2,62,4712,3524,1178,17,23.74
FaceDetection,linear_conv_random_pe,5,0.8196,0.399,0.7037,0.6095,0.7354,0.6436,0.2674,144,2,62,4712,3524,1178,18,25.02
FaceDetection,linear_conv_learnable_random_pe,5,0.8234,0.3981,0.7411,0.5478,0.7281,0.6524,0.2674,144,2,62,4712,3524,1178,17,24.69
FaceDetection,linear_conv_sinusoidal,5,0.8226,0.393,0.7394,0.5768,0.7739,0.6555,0.2676,144,2,62,4712,3524,1178,23,28.1
FaceDetection,linear_conv_learnable_sinusoidal,5,0.8103,0.4253,0.7691,0.5116,0.6746,0.6867,0.2674,144,2,62,4712,3524,1178,19,25.87
FaceDetection,linear_conv_0_8_gaussian_fpe,5,0.7218,0.5454,0.6732,0.6149,0.696,0.6294,0.2675,144,2,62,4712,3524,1178,16,23.17
FaceDetection,linear_conv_1_sinc_fpe,5,0.8128,0.4122,0.6596,0.7259,0.8549,0.6007,0.2677,144,2,62,4712,3524,1178,20,26.83
FaceDetection,linear_conv_2_sinc_fpe,5,0.7171,0.5537,0.7037,0.5791,0.6915,0.6266,0.2675,144,2,62,4712,3524,1178,16,24.29
FaceDetection,linear_conv_5_sinc_fpe,5,0.8173,0.3881,0.7734,0.5409,0.7169,0.6776,0.2677,144,2,62,4712,3524,1178,18,25.78
FaceDetection,linear_no_pe,6,0.5819,0.6718,0.5721,0.6889,0.695,0.5377,0.2664,144,2,62,4712,3524,1178,18,23.74
FaceDetection,linear_conv_random_pe,6,0.7901,0.446,0.7165,0.5821,0.7397,0.6288,0.2674,144,2,62,4712,3524,1178,18,24.22
FaceDetection,linear_conv_learnable_random_pe,6,0.8949,0.2545,0.7598,0.6344,0.9047,0.6586,0.2676,144,2,62,4712,3524,1178,16,24.04
FaceDetection,linear_conv_sinusoidal,6,0.8504,0.3448,0.7623,0.6011,0.8375,0.6555,0.2676,144,2,62,4712,3524,1178,20,27.32
FaceDetection,linear_conv_learnable_sinusoidal,6,0.8147,0.4138,0.7615,0.5429,0.705,0.6663,0.2674,144,2,62,4712,3524,1178,18,25.25
FaceDetection,linear_conv_0_8_gaussian_fpe,6,0.7646,0.4902,0.6995,0.6077,0.72,0.6263,0.2677,144,2,62,4712,3524,1178,20,27.01
FaceDetection,linear_conv_1_sinc_fpe,6,0.7464,0.5124,0.685,0.6413,0.759,0.5982,0.2677,144,2,62,4712,3524,1178,18,25.22
FaceDetection,linear_conv_2_sinc_fpe,6,0.8239,0.3894,0.7207,0.6659,0.8519,0.6229,0.2677,144,2,62,4712,3524,1178,17,25.03
FaceDetection,linear_conv_5_sinc_fpe,6,0.7498,0.5064,0.7615,0.5186,0.6233,0.679,0.2675,144,2,62,4712,3524,1178,16,23.85
FaceDetection,linear_no_pe,7,0.5866,0.6702,0.5475,0.6951,0.6954,0.5346,0.2664,144,2,62,4712,3524,1178,18,24.86
FaceDetection,linear_conv_random_pe,7,0.7748,0.4689,0.7147,0.5925,0.7266,0.63,0.2674,144,2,62,4712,3524,1178,17,24.51
FaceDetection,linear_conv_learnable_random_pe,7,0.7829,0.4686,0.7445,0.5403,0.6877,0.6541,0.2674,144,2,62,4712,3524,1178,16,24.4
FaceDetection,linear_conv_sinusoidal,7,0.8521,0.3438,0.7597,0.5981,0.8475,0.6597,0.2676,144,2,62,4712,3524,1178,24,29.17
FaceDetection,linear_conv_learnable_sinusoidal,7,0.8882,0.2645,0.7759,0.6382,0.9486,0.6677,0.2676,144,2,62,4712,3524,1178,18,24.19
FaceDetection,linear_conv_0_8_gaussian_fpe,7,0.7553,0.4931,0.6808,0.6388,0.7612,0.6087,0.2677,144,2,62,4712,3524,1178,18,25.56
FaceDetection,linear_conv_1_sinc_fpe,7,0.7432,0.5229,0.6783,0.6288,0.7723,0.5948,0.2677,144,2,62,4712,3524,1178,20,26.35
FaceDetection,linear_conv_2_sinc_fpe,7,0.8164,0.4038,0.6995,0.6679,0.8154,0.6266,0.2677,144,2,62,4712,3524,1178,16,24.85
FaceDetection,linear_conv_5_sinc_fpe,7,0.8512,0.3459,0.7589,0.5868,0.7869,0.6609,0.2677,144,2,62,4712,3524,1178,18,25.18
FaceDetection,linear_no_pe,8,0.5571,0.6834,0.5416,0.6925,0.6892,0.5386,0.2662,144,2,62,4712,3524,1178,13,20.91
FaceDetection,linear_conv_random_pe,8,0.8629,0.3195,0.7106,0.7146,0.8542,0.6504,0.2676,144,2,62,4712,3524,1178,16,23.98
FaceDetection,linear_conv_learnable_random_pe,8,0.7975,0.4359,0.7564,0.5344,0.695,0.6512,0.2674,144,2,62,4712,3524,1178,17,24.78
FaceDetection,linear_conv_sinusoidal,8,0.837,0.3684,0.7402,0.5803,0.7754,0.6649,0.2676,144,2,62,4712,3524,1178,21,27.35
FaceDetection,linear_conv_learnable_sinusoidal,8,0.8706,0.3153,0.781,0.5683,0.8375,0.6623,0.2676,144,2,62,4712,3524,1178,17,24.94
FaceDetection,linear_conv_0_8_gaussian_fpe,8,0.7294,0.5291,0.6698,0.6344,0.7374,0.5976,0.2677,144,2,62,4712,3524,1178,18,26.09
FaceDetection,linear_conv_1_sinc_fpe,8,0.7685,0.4891,0.6664,0.6773,0.7609,0.6044,0.2677,144,2,62,4712,3524,1178,16,24.25
FaceDetection,linear_conv_2_sinc_fpe,8,0.7647,0.4858,0.7114,0.5946,0.712,0.643,0.2677,144,2,62,4712,3524,1178,16,24.03
FaceDetection,linear_conv_5_sinc_fpe,8,0.7986,0.4374,0.7682,0.532,0.6784,0.6756,0.2675,144,2,62,4712,3524,1178,17,24.59
FaceDetection,linear_no_pe,9,0.59,0.6697,0.5408,0.6966,0.704,0.5295,0.2664,144,2,62,4712,3524,1178,16,22.63
FaceDetection,linear_conv_random_pe,9,0.8521,0.3336,0.7326,0.668,0.8317,0.6342,0.2676,144,2,62,4712,3524,1178,17,24.15
FaceDetection,linear_conv_learnable_random_pe,9,0.8759,0.2987,0.7589,0.6127,0.815,0.6654,0.2674,144,2,62,4712,3524,1178,16,24.06
