dataset,model,test_acc,run,train_loss,train_acc,val_loss,val_acc,test_loss,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,n_train_epochs,training_time_seconds
MotorImagery,1d_conv_component_wise_sinusoidal,0.59,1,0.4951,0.7613,0.8879,0.625,0.79,1.6937,64,2,3000,222,100,56,12,99.13
MotorImagery,linear_circular_conv_sinusoidal,0.51,1,0.6825,0.5901,0.6977,0.6071,0.6902,1.6633,64,2,3000,222,100,56,13,103.47
MotorImagery,1d_conv_circular_conv_sinusoidal,0.6,1,0.6808,0.5811,0.7149,0.5714,0.6736,1.6954,64,2,3000,222,100,56,12,99.31
MotorImagery,1d_conv_circular_conv_isolated_sinusoidal,0.45,1,0.6892,0.5811,0.681,0.5714,0.7078,1.6954,64,2,3000,222,100,56,13,103.74
MotorImagery,linear_additive_sinusoidal,0.46,2,0.6802,0.5676,0.6574,0.6607,0.7248,1.6621,64,2,3000,222,100,56,18,119.22
MotorImagery,linear_additive_isolated_sinusoidal,0.63,2,,,,,0.6648,1.6602,64,2,3000,222,100,56,1,56.62
MotorImagery,1d_conv_additive_sinusoidal,0.49,2,0.5477,0.7613,0.7569,0.625,,1.6942,64,2,3000,222,100,56,13,105.29
MotorImagery,linear_component_wise_sinusoidal,0.59,2,0.5983,0.7072,0.8243,0.625,0.6762,1.6633,64,2,3000,222,100,56,13,102.5
MotorImagery,1d_conv_component_wise_sinusoidal,0.51,2,0.6809,0.6081,0.7076,0.5179,0.7105,1.6934,64,2,3000,222,100,56,13,102.81
MotorImagery,linear_circular_conv_sinusoidal,0.56,2,0.6796,0.5766,0.7022,0.5893,0.6852,1.6633,64,2,3000,222,100,56,13,103.31
MotorImagery,1d_conv_circular_conv_sinusoidal,0.59,2,0.6433,0.5991,0.7515,0.5893,0.6694,1.6937,64,2,3000,222,100,56,14,107.47
MotorImagery,1d_conv_circular_conv_isolated_sinusoidal,0.44,2,0.6925,0.5496,0.6838,0.625,0.715,1.6954,64,2,3000,222,100,56,13,103.09
MotorImagery,linear_additive_sinusoidal,0.48,3,0.6882,0.5135,0.6663,0.6429,0.7184,1.6621,64,2,3000,222,100,56,15,107.61
MotorImagery,linear_additive_isolated_sinusoidal,0.5,3,0.6725,0.5946,0.666,0.625,0.7353,1.6622,64,2,3000,222,100,56,15,108.07
MotorImagery,1d_conv_additive_sinusoidal,0.56,3,,,,,,1.6922,64,2,3000,222,100,56,1,58.14
MotorImagery,linear_component_wise_sinusoidal,0.46,3,0.4208,0.8108,1.1495,0.6071,0.9683,1.6616,64,2,3000,222,100,56,12,99.63
MotorImagery,1d_conv_component_wise_sinusoidal,0.56,3,0.6312,0.6396,0.8128,0.5179,0.7325,1.6954,64,2,3000,222,100,56,12,98.93
MotorImagery,linear_circular_conv_sinusoidal,0.54,3,0.6662,0.5946,0.7078,0.6071,0.6914,1.6616,64,2,3000,222,100,56,14,105.76
MotorImagery,1d_conv_circular_conv_sinusoidal,0.44,3,0.6758,0.5991,0.6954,0.5714,0.7029,1.6954,64,2,3000,222,100,56,12,100.5
MotorImagery,1d_conv_circular_conv_isolated_sinusoidal,0.6,3,0.6714,0.6171,0.7086,0.5893,0.6876,1.6954,64,2,3000,222,100,56,12,100.41
MotorImagery,linear_additive_sinusoidal,0.51,4,0.5649,0.6937,0.7619,0.625,,1.6604,64,2,3000,222,100,56,15,108.73
MotorImagery,linear_additive_isolated_sinusoidal,0.48,4,0.6804,0.5631,0.6644,0.6964,0.7266,1.6622,64,2,3000,222,100,56,14,104.52
MotorImagery,1d_conv_additive_sinusoidal,0.47,4,0.6774,0.5766,0.6864,0.6429,,1.6942,64,2,3000,222,100,56,12,101.6
MotorImagery,linear_component_wise_sinusoidal,0.45,4,0.6953,0.527,0.6867,0.6071,0.6958,1.6633,64,2,3000,222,100,56,13,102.21
MotorImagery,1d_conv_component_wise_sinusoidal,0.57,4,0.637,0.6216,0.7768,0.6071,0.6782,1.6954,64,2,3000,222,100,56,13,102.32
MotorImagery,linear_circular_conv_sinusoidal,0.47,4,0.6483,0.6126,0.7455,0.6071,0.7722,1.6616,64,2,3000,222,100,56,15,110.37
MotorImagery,1d_conv_circular_conv_sinusoidal,0.43,4,0.6941,0.5766,0.6916,0.5536,0.7045,1.6954,64,2,3000,222,100,56,13,104.64
MotorImagery,1d_conv_circular_conv_isolated_sinusoidal,0.48,4,0.6881,0.5586,0.6909,0.5893,0.696,1.6954,64,2,3000,222,100,56,13,104.08
MotorImagery,linear_additive_sinusoidal,0.53,5,0.6925,0.5631,0.6863,0.5714,0.7077,1.6621,64,2,3000,222,100,56,13,101.43
MotorImagery,linear_additive_isolated_sinusoidal,0.59,5,0.6113,0.6667,0.6979,0.6429,0.9697,1.6622,64,2,3000,222,100,56,13,101.13
MotorImagery,1d_conv_additive_sinusoidal,0.45,5,,,,,,1.6922,64,2,3000,222,100,56,1,59.4
MotorImagery,linear_component_wise_sinusoidal,0.57,5,0.6096,0.6802,0.812,0.5893,0.7014,1.6616,64,2,3000,222,100,56,13,102.99
MotorImagery,1d_conv_component_wise_sinusoidal,0.59,5,0.581,0.7027,0.8274,0.625,0.6878,1.6937,64,2,3000,222,100,56,13,102.98
MotorImagery,linear_circular_conv_sinusoidal,0.42,5,0.6952,0.5135,0.6884,0.5714,0.7092,1.6633,64,2,3000,222,100,56,15,111.44
MotorImagery,1d_conv_circular_conv_sinusoidal,0.53,5,0.7053,0.527,0.6854,0.5714,0.7039,1.6954,64,2,3000,222,100,56,13,103.52
MotorImagery,1d_conv_circular_conv_isolated_sinusoidal,0.45,5,0.6916,0.5135,0.6851,0.6071,0.7011,1.6954,64,2,3000,222,100,56,15,111.05
SelfRegulationSCP1,linear_additive_sinusoidal,0.7918,1,0.3826,0.8037,0.3703,0.8519,0.4267,0.4207,6,2,896,214,293,54,31,48.49
SelfRegulationSCP1,linear_additive_isolated_sinusoidal,0.7781,1,0.401,0.8225,0.4287,0.7963,0.4449,0.4207,6,2,896,214,293,54,32,48.89
SelfRegulationSCP1,1d_conv_additive_sinusoidal,0.6553,1,,,,,0.6201,0.4241,6,2,896,214,293,54,1,36.03
SelfRegulationSCP1,linear_component_wise_sinusoidal,0.7611,1,0.4472,0.8131,0.3727,0.8333,0.4846,0.4218,6,2,896,214,293,54,31,42.41
SelfRegulationSCP1,1d_conv_component_wise_sinusoidal,0.8328,1,0.3025,0.8505,0.3901,0.8333,0.3543,0.4256,6,2,896,214,293,54,38,54.92
SelfRegulationSCP1,linear_circular_conv_sinusoidal,0.8089,1,0.4163,0.799,0.3408,0.8333,0.4012,0.4218,6,2,896,214,293,54,45,58.15
SelfRegulationSCP1,1d_conv_circular_conv_sinusoidal,0.273,1,,,,,0.7424,0.4253,6,2,896,214,293,54,1,38.67
SelfRegulationSCP1,1d_conv_circular_conv_isolated_sinusoidal,0.7645,1,,,,,0.6532,0.4254,6,2,896,214,293,54,1,38.96
SelfRegulationSCP1,linear_additive_sinusoidal,0.7748,2,0.3539,0.8458,0.3444,0.8889,0.5101,0.4207,6,2,896,214,293,54,54,57.15
SelfRegulationSCP1,linear_additive_isolated_sinusoidal,0.744,2,0.46,0.8131,0.4131,0.8148,0.4975,0.4207,6,2,896,214,293,54,33,49.37
SelfRegulationSCP1,1d_conv_additive_sinusoidal,0.6416,2,,,,,0.6256,0.4241,6,2,896,214,293,54,1,35.21
SelfRegulationSCP1,linear_component_wise_sinusoidal,0.8362,2,0.2039,0.9112,0.6493,0.8334,0.3905,0.4218,6,2,896,214,293,54,30,40.72
SelfRegulationSCP1,1d_conv_component_wise_sinusoidal,0.4915,2,,,,,0.7213,0.4254,6,2,896,214,293,54,1,38.15
SelfRegulationSCP1,linear_circular_conv_sinusoidal,0.2423,2,,,,,0.725,0.4216,6,2,896,214,293,54,1,38.74
SelfRegulationSCP1,1d_conv_circular_conv_sinusoidal,0.8362,2,0.3963,0.8504,0.3435,0.8704,0.4173,0.4256,6,2,896,214,293,54,52,61.68
SelfRegulationSCP1,1d_conv_circular_conv_isolated_sinusoidal,0.5802,2,,,,,0.6687,0.4254,6,2,896,214,293,54,1,39.09
SelfRegulationSCP1,linear_additive_sinusoidal,0.7338,3,0.3944,0.8177,0.3722,0.8704,0.5254,0.4207,6,2,896,214,293,54,40,51.6
SelfRegulationSCP1,linear_additive_isolated_sinusoidal,0.6416,3,0.3403,0.8691,0.3896,0.7963,0.6931,0.4207,6,2,896,214,293,54,39,51.59
SelfRegulationSCP1,1d_conv_additive_sinusoidal,0.8055,3,0.3415,0.8598,0.2459,0.9074,0.4256,0.4244,6,2,896,214,293,54,57,58.37
SelfRegulationSCP1,linear_component_wise_sinusoidal,0.8055,3,0.488,0.7523,0.4552,0.7963,0.4339,0.4235,6,2,896,214,293,54,29,40.33
SelfRegulationSCP1,1d_conv_component_wise_sinusoidal,0.5222,3,,,,,0.702,0.4254,6,2,896,214,293,54,1,38.76
SelfRegulationSCP1,linear_circular_conv_sinusoidal,0.5017,3,,,,,0.7044,0.4216,6,2,896,214,293,54,1,38.79
SelfRegulationSCP1,1d_conv_circular_conv_sinusoidal,0.5017,3,,,,,0.6814,0.4253,6,2,896,214,293,54,1,39.05
SelfRegulationSCP1,1d_conv_circular_conv_isolated_sinusoidal,0.4881,3,,,,,0.6947,0.4254,6,2,896,214,293,54,1,39.17
SelfRegulationSCP1,linear_additive_sinusoidal,0.6792,4,,,,,0.6854,0.4204,6,2,896,214,293,54,1,35.83
SelfRegulationSCP1,linear_additive_isolated_sinusoidal,0.8021,4,0.4053,0.8365,0.3418,0.8519,0.4564,0.4207,6,2,896,214,293,54,32,48.99
SelfRegulationSCP1,1d_conv_additive_sinusoidal,0.5802,4,0.4002,0.8037,0.3408,0.9074,0.9022,0.4244,6,2,896,214,293,54,40,52.06
SelfRegulationSCP1,linear_component_wise_sinusoidal,0.8191,4,0.4435,0.8131,0.4657,0.7778,0.3904,0.4218,6,2,896,214,293,54,19,33.73
SelfRegulationSCP1,1d_conv_component_wise_sinusoidal,0.7987,4,0.4425,0.8037,0.4094,0.7963,0.4296,0.4256,6,2,896,214,293,54,41,56.47
SelfRegulationSCP1,linear_circular_conv_sinusoidal,0.7884,4,0.4441,0.785,0.3615,0.9074,0.4556,0.4218,6,2,896,214,293,54,58,63.95
SelfRegulationSCP1,1d_conv_circular_conv_sinusoidal,0.7747,4,0.3091,0.8551,0.3141,0.8889,0.5132,0.4256,6,2,896,214,293,54,56,63.2
SelfRegulationSCP1,1d_conv_circular_conv_isolated_sinusoidal,0.8498,4,0.4076,0.799,0.3964,0.8519,0.4193,0.4256,6,2,896,214,293,54,39,56.49
SelfRegulationSCP1,linear_additive_sinusoidal,0.6417,5,,,,,0.659,0.4204,6,2,896,214,293,54,1,35.42
SelfRegulationSCP1,linear_additive_isolated_sinusoidal,0.4505,5,,,,,0.6981,0.4204,6,2,896,214,293,54,1,35.6
SelfRegulationSCP1,1d_conv_additive_sinusoidal,0.8396,5,0.3855,0.8225,0.3608,0.8704,0.3605,0.4244,6,2,896,214,293,54,37,51.02
SelfRegulationSCP1,linear_component_wise_sinusoidal,0.8362,5,0.4757,0.7804,0.4129,0.8333,0.3905,0.4218,6,2,896,214,293,54,24,38.12
SelfRegulationSCP1,1d_conv_component_wise_sinusoidal,0.8055,5,0.3966,0.8131,0.3624,0.8519,0.4026,0.4256,6,2,896,214,293,54,34,53.99
SelfRegulationSCP1,linear_circular_conv_sinusoidal,0.8327,5,0.4715,0.7804,0.3888,0.8519,0.4307,0.4218,6,2,896,214,293,54,44,58.09
SelfRegulationSCP1,1d_conv_circular_conv_sinusoidal,0.8771,5,0.445,0.7897,0.3841,0.8519,0.4124,0.4256,6,2,896,214,293,54,44,57.76
SelfRegulationSCP1,1d_conv_circular_conv_isolated_sinusoidal,0.7952,5,0.4122,0.7944,0.3903,0.8333,0.4497,0.4256,6,2,896,214,293,54,42,57.21
Heartbeat,linear_additive_sinusoidal,0.3366,1,,,,,,0.3877,61,2,405,163,205,41,1,32.35
Heartbeat,linear_additive_isolated_sinusoidal,0.2829,1,,,,,,0.3878,61,2,405,163,205,41,1,31.97
Heartbeat,1d_conv_additive_sinusoidal,0.5025,1,,,,,,0.4183,61,2,405,163,205,41,1,32.16
Heartbeat,linear_component_wise_sinusoidal,0.2927,1,,,,,0.8525,0.3889,61,2,405,163,205,41,1,33.48
Heartbeat,1d_conv_component_wise_sinusoidal,0.4586,1,,,,,0.7024,0.4196,61,2,405,163,205,41,1,33.07
Heartbeat,linear_circular_conv_sinusoidal,0.7463,1,0.4942,0.7301,0.6382,0.7561,0.5237,0.3909,61,2,405,163,205,41,12,38.28
Heartbeat,1d_conv_circular_conv_sinusoidal,0.7171,1,0.7073,0.3927,0.5819,0.7317,0.5984,0.4215,61,2,405,163,205,41,12,38.14
Heartbeat,1d_conv_circular_conv_isolated_sinusoidal,0.3464,1,,,,,0.7591,0.4196,61,2,405,163,205,41,1,33.2
Heartbeat,linear_additive_sinusoidal,0.6781,2,,,,,,0.3877,61,2,405,163,205,41,1,32.38
Heartbeat,linear_additive_isolated_sinusoidal,0.4537,2,,,,,,0.3878,61,2,405,163,205,41,1,32.46
Heartbeat,1d_conv_additive_sinusoidal,0.5951,2,,,,,,0.4183,61,2,405,163,205,41,1,32.13
Heartbeat,linear_component_wise_sinusoidal,0.317,2,,,,,0.7499,0.3889,61,2,405,163,205,41,1,33.03
Heartbeat,1d_conv_component_wise_sinusoidal,0.6585,2,,,,,0.6616,0.4196,61,2,405,163,205,41,1,32.99
Heartbeat,linear_circular_conv_sinusoidal,0.7463,2,0.4516,0.7853,0.7009,0.7561,0.5458,0.3892,61,2,405,163,205,41,12,38.67
Heartbeat,1d_conv_circular_conv_sinusoidal,0.722,2,0.6611,0.6564,0.5743,0.7317,0.5765,0.4215,61,2,405,163,205,41,12,38.21
Heartbeat,1d_conv_circular_conv_isolated_sinusoidal,0.7463,2,0.5648,0.7178,0.5796,0.7317,0.5461,0.4216,61,2,405,163,205,41,14,39.3
Heartbeat,linear_additive_sinusoidal,0.6879,3,,,,,,0.3877,61,2,405,163,205,41,1,32.28
Heartbeat,linear_additive_isolated_sinusoidal,0.6683,3,,0.7055,0.5378,0.7317,,0.3878,61,2,405,163,205,41,12,36.78
Heartbeat,1d_conv_additive_sinusoidal,0.4049,3,,,,,,0.4183,61,2,405,163,205,41,1,32.02
Heartbeat,linear_component_wise_sinusoidal,0.7512,3,0.5196,0.7608,0.5972,0.7317,0.5167,0.3909,61,2,405,163,205,41,12,38.66
Heartbeat,1d_conv_component_wise_sinusoidal,0.7025,3,,,,,0.6207,0.4196,61,2,405,163,205,41,1,33.24
Heartbeat,linear_circular_conv_sinusoidal,0.7073,3,0.6333,0.7178,0.5869,0.7317,0.6422,0.3889,61,2,405,163,205,41,12,38.28
Heartbeat,1d_conv_circular_conv_sinusoidal,0.2829,3,0.6017,0.7178,0.5744,0.7317,0.7268,0.4195,61,2,405,163,205,41,13,38.67
Heartbeat,1d_conv_circular_conv_isolated_sinusoidal,0.7366,3,0.5555,0.7301,0.5737,0.7317,0.5321,0.4216,61,2,405,163,205,41,15,39.0
Heartbeat,linear_additive_sinusoidal,0.6244,4,,0.6013,0.5582,0.7073,,0.3877,61,2,405,163,205,41,15,37.8
Heartbeat,linear_additive_isolated_sinusoidal,0.5561,4,,,,,,0.3878,61,2,405,163,205,41,1,31.95
Heartbeat,1d_conv_additive_sinusoidal,0.4586,4,,,,,,0.4183,61,2,405,163,205,41,1,32.39
Heartbeat,linear_component_wise_sinusoidal,0.7122,4,0.6288,0.7055,0.5948,0.7317,0.5572,0.3909,61,2,405,163,205,41,13,38.32
Heartbeat,1d_conv_component_wise_sinusoidal,0.5073,4,,,,,0.7025,0.4196,61,2,405,163,205,41,1,33.04
Heartbeat,linear_circular_conv_sinusoidal,0.722,4,0.6195,0.7055,0.6135,0.7317,0.6135,0.3909,61,2,405,163,205,41,14,39.34
Heartbeat,1d_conv_circular_conv_sinusoidal,0.7171,4,0.7339,0.3987,0.587,0.7073,0.5538,0.4215,61,2,405,163,205,41,12,37.98
Heartbeat,1d_conv_circular_conv_isolated_sinusoidal,0.7463,4,0.5811,0.7178,0.5868,0.7317,0.5345,0.4216,61,2,405,163,205,41,13,38.49
Heartbeat,linear_additive_sinusoidal,0.6634,5,,,,,,0.3877,61,2,405,163,205,41,1,32.42
Heartbeat,linear_additive_isolated_sinusoidal,0.4732,5,,,,,,0.3878,61,2,405,163,205,41,1,32.34
Heartbeat,1d_conv_additive_sinusoidal,0.5219,5,,,,,,0.4183,61,2,405,163,205,41,1,32.19
Heartbeat,linear_component_wise_sinusoidal,0.3366,5,,,,,0.7589,0.3889,61,2,405,163,205,41,1,32.79
Heartbeat,1d_conv_component_wise_sinusoidal,0.2878,5,,,,,0.8557,0.4196,61,2,405,163,205,41,1,33.2
Heartbeat,linear_circular_conv_sinusoidal,0.761,5,0.4404,0.816,0.6745,0.7561,0.5526,0.3892,61,2,405,163,205,41,14,38.92
Heartbeat,1d_conv_circular_conv_sinusoidal,0.7268,5,0.5852,0.7117,0.5975,0.7317,0.658,0.4195,61,2,405,163,205,41,14,39.02
Heartbeat,1d_conv_circular_conv_isolated_sinusoidal,0.7512,5,0.4882,0.7546,0.63,0.7561,0.507,0.4216,61,2,405,163,205,41,12,37.68
SelfRegulationSCP2,linear_additive_sinusoidal,0.4945,1,,,,,0.7023,0.4934,7,2,1152,160,180,40,1,44.97
SelfRegulationSCP2,linear_additive_isolated_sinusoidal,0.5389,1,0.6835,0.5875,0.6906,0.6,0.6991,0.4954,7,2,1152,160,180,40,17,53.56
SelfRegulationSCP2,1d_conv_additive_sinusoidal,0.4722,1,,,,,0.7217,0.4976,7,2,1152,160,180,40,1,48.02
SelfRegulationSCP2,linear_component_wise_sinusoidal,0.5444,1,,,,,0.6931,0.4946,7,2,1152,160,180,40,1,47.22
SelfRegulationSCP2,1d_conv_component_wise_sinusoidal,0.5222,1,0.679,0.575,0.6746,0.625,0.6878,0.4991,7,2,1152,160,180,40,15,55.25
SelfRegulationSCP2,linear_circular_conv_sinusoidal,0.4833,1,,,,,0.6939,0.4946,7,2,1152,160,180,40,1,47.26
SelfRegulationSCP2,1d_conv_circular_conv_sinusoidal,0.5278,1,,,,,0.6944,0.4988,7,2,1152,160,180,40,1,47.81
SelfRegulationSCP2,1d_conv_circular_conv_isolated_sinusoidal,0.5389,1,0.6654,0.5875,0.6674,0.65,0.6905,0.4991,7,2,1152,160,180,40,42,70.29
SelfRegulationSCP2,linear_additive_sinusoidal,0.5166,2,0.6972,0.5187,0.6953,0.575,0.6873,0.4934,7,2,1152,160,180,40,13,52.24
SelfRegulationSCP2,linear_additive_isolated_sinusoidal,0.5055,2,0.6592,0.6125,0.7339,0.525,0.7178,0.4937,7,2,1152,160,180,40,15,52.99
SelfRegulationSCP2,1d_conv_additive_sinusoidal,0.5166,2,0.6756,0.6125,0.6941,0.575,0.7007,0.4976,7,2,1152,160,180,40,13,54.94
SelfRegulationSCP2,linear_component_wise_sinusoidal,0.5556,2,0.6904,0.5125,0.6799,0.575,0.6886,0.4966,7,2,1152,160,180,40,14,54.61
SelfRegulationSCP2,1d_conv_component_wise_sinusoidal,0.4889,2,,,,,0.6944,0.4988,7,2,1152,160,180,40,1,46.84
SelfRegulationSCP2,linear_circular_conv_sinusoidal,0.5611,2,,,,,0.6919,0.4946,7,2,1152,160,180,40,1,47.69
SelfRegulationSCP2,1d_conv_circular_conv_sinusoidal,0.55,2,0.6243,0.6313,0.6759,0.65,0.7011,0.4991,7,2,1152,160,180,40,42,70.41
SelfRegulationSCP2,1d_conv_circular_conv_isolated_sinusoidal,0.5,2,,,,,0.6952,0.4988,7,2,1152,160,180,40,1,48.15
SelfRegulationSCP2,linear_additive_sinusoidal,0.5055,3,0.6818,0.5312,0.6913,0.625,0.691,0.4934,7,2,1152,160,180,40,13,51.54
SelfRegulationSCP2,linear_additive_isolated_sinusoidal,0.5,3,0.7138,0.5438,0.6964,0.6,0.6981,0.4954,7,2,1152,160,180,40,13,52.01
SelfRegulationSCP2,1d_conv_additive_sinusoidal,0.4666,3,,,,,0.7292,0.4976,7,2,1152,160,180,40,1,48.88
SelfRegulationSCP2,linear_component_wise_sinusoidal,0.4834,3,,,,,0.7086,0.4946,7,2,1152,160,180,40,1,47.2
SelfRegulationSCP2,1d_conv_component_wise_sinusoidal,0.4833,3,,,,,0.7081,0.4988,7,2,1152,160,180,40,1,47.49
SelfRegulationSCP2,linear_circular_conv_sinusoidal,0.5166,3,0.6745,0.5938,0.6794,0.625,0.6954,0.4948,7,2,1152,160,180,40,36,67.21
SelfRegulationSCP2,1d_conv_circular_conv_sinusoidal,0.55,3,0.6902,0.525,0.6704,0.675,0.6877,0.4991,7,2,1152,160,180,40,21,59.7
SelfRegulationSCP2,1d_conv_circular_conv_isolated_sinusoidal,0.5611,3,0.6933,0.5438,0.6774,0.625,0.6891,0.5009,7,2,1152,160,180,40,15,56.29
SelfRegulationSCP2,linear_additive_sinusoidal,0.5611,4,,,,,0.6873,0.4934,7,2,1152,160,180,40,1,45.82
SelfRegulationSCP2,linear_additive_isolated_sinusoidal,0.5222,4,,,,,0.7017,0.4934,7,2,1152,160,180,40,1,44.98
SelfRegulationSCP2,1d_conv_additive_sinusoidal,0.4834,4,,,,,0.7181,0.4976,7,2,1152,160,180,40,1,49.3
SelfRegulationSCP2,linear_component_wise_sinusoidal,0.5278,4,,,,,0.6929,0.4946,7,2,1152,160,180,40,1,47.28
SelfRegulationSCP2,1d_conv_component_wise_sinusoidal,0.55,4,0.6844,0.5625,0.678,0.675,0.6859,0.5008,7,2,1152,160,180,40,12,54.02
SelfRegulationSCP2,linear_circular_conv_sinusoidal,0.5555,4,0.6595,0.6,0.691,0.625,0.6864,0.4948,7,2,1152,160,180,40,36,67.13
SelfRegulationSCP2,1d_conv_circular_conv_sinusoidal,0.4444,4,,,,,0.7318,0.4988,7,2,1152,160,180,40,1,47.61
SelfRegulationSCP2,1d_conv_circular_conv_isolated_sinusoidal,0.5167,4,0.6882,0.5375,0.6752,0.65,0.6906,0.5009,7,2,1152,160,180,40,23,60.26
SelfRegulationSCP2,linear_additive_sinusoidal,0.5333,5,0.6611,0.625,0.7054,0.6,0.705,0.4937,7,2,1152,160,180,40,16,53.43
SelfRegulationSCP2,linear_additive_isolated_sinusoidal,0.5444,5,0.697,0.5187,0.6904,0.6,0.6901,0.4934,7,2,1152,160,180,40,13,51.81
SelfRegulationSCP2,1d_conv_additive_sinusoidal,0.4778,5,,,,,0.7004,0.4976,7,2,1152,160,180,40,1,48.8
SelfRegulationSCP2,linear_component_wise_sinusoidal,0.4445,5,,,,,0.7034,0.4946,7,2,1152,160,180,40,1,47.39
SelfRegulationSCP2,1d_conv_component_wise_sinusoidal,0.55,5,0.6753,0.5875,0.6748,0.575,0.6845,0.4991,7,2,1152,160,180,40,25,60.72
SelfRegulationSCP2,linear_circular_conv_sinusoidal,0.5444,5,0.6945,0.525,0.6746,0.625,0.6873,0.4948,7,2,1152,160,180,40,20,58.37
SelfRegulationSCP2,1d_conv_circular_conv_sinusoidal,0.5444,5,0.692,0.5125,0.6685,0.65,0.6891,0.5008,7,2,1152,160,180,40,15,56.12
SelfRegulationSCP2,1d_conv_circular_conv_isolated_sinusoidal,0.4666,5,,,,,0.7153,0.4988,7,2,1152,160,180,40,1,48.14
PhonemeSpectra,linear_additive_sinusoidal,0.1029,1,3.1825,0.1158,3.3097,0.0995,3.2867,0.2542,11,39,217,2652,3353,663,73,81.78
PhonemeSpectra,linear_additive_isolated_sinusoidal,0.0188,1,,,,,3.76,0.254,11,39,217,2652,3353,663,1,37.72
PhonemeSpectra,1d_conv_additive_sinusoidal,0.153,1,2.8962,0.1806,2.9945,0.1433,,0.2604,11,39,217,2652,3353,663,40,63.67
PhonemeSpectra,linear_component_wise_sinusoidal,0.0725,1,3.3398,0.0973,3.4794,0.0694,3.4164,0.2554,11,39,217,2652,3353,663,31,64.41
PhonemeSpectra,1d_conv_component_wise_sinusoidal,0.1566,1,2.6752,0.2002,2.9513,0.1614,2.8728,0.2615,11,39,217,2652,3353,663,52,79.32
PhonemeSpectra,linear_circular_conv_sinusoidal,0.0721,1,3.2821,0.0943,3.4999,0.0694,3.4135,0.2554,11,39,217,2652,3353,663,35,68.96
PhonemeSpectra,1d_conv_circular_conv_sinusoidal,0.1506,1,2.7767,0.1855,2.9508,0.175,2.9205,0.2615,11,39,217,2652,3353,663,64,88.18
PhonemeSpectra,1d_conv_circular_conv_isolated_sinusoidal,0.1596,1,2.6584,0.2048,2.912,0.1644,2.8737,0.2616,11,39,217,2652,3353,663,65,88.22
PhonemeSpectra,linear_additive_sinusoidal,0.1002,2,3.1076,0.1339,3.3133,0.1086,3.2793,0.2542,11,39,217,2652,3353,663,62,75.52
PhonemeSpectra,linear_additive_isolated_sinusoidal,0.1011,2,3.0912,0.1301,3.3097,0.1071,3.2834,0.2542,11,39,217,2652,3353,663,69,79.93
PhonemeSpectra,1d_conv_additive_sinusoidal,0.0298,2,,,,,3.6936,0.2601,11,39,217,2652,3353,663,1,37.71
PhonemeSpectra,linear_component_wise_sinusoidal,0.0683,2,3.3855,0.0731,3.488,0.0694,3.4343,0.2554,11,39,217,2652,3353,663,31,63.75
PhonemeSpectra,1d_conv_component_wise_sinusoidal,0.1557,2,2.7187,0.1998,2.9513,0.1554,2.8836,0.2615,11,39,217,2652,3353,663,51,76.98
PhonemeSpectra,linear_circular_conv_sinusoidal,0.074,2,3.3092,0.0864,3.477,0.0739,3.4135,0.2554,11,39,217,2652,3353,663,40,71.02
PhonemeSpectra,1d_conv_circular_conv_sinusoidal,0.1578,2,2.7113,0.2051,2.933,0.1463,2.8955,0.2615,11,39,217,2652,3353,663,75,94.95
PhonemeSpectra,1d_conv_circular_conv_isolated_sinusoidal,0.1682,2,2.6457,0.213,2.8701,0.1735,2.8443,0.2616,11,39,217,2652,3353,663,80,99.24
PhonemeSpectra,linear_additive_sinusoidal,0.0921,3,3.252,0.0905,3.3508,0.0905,3.3243,0.2542,11,39,217,2652,3353,663,63,75.95
PhonemeSpectra,linear_additive_isolated_sinusoidal,0.0257,3,,,,,3.7475,0.254,11,39,217,2652,3353,663,1,37.32
PhonemeSpectra,1d_conv_additive_sinusoidal,0.082,3,,0.083,3.4201,0.0799,,0.2604,11,39,217,2652,3353,663,28,54.75
PhonemeSpectra,linear_component_wise_sinusoidal,0.0683,3,3.3505,0.0837,3.4898,0.0724,3.4252,0.2554,11,39,217,2652,3353,663,22,57.3
PhonemeSpectra,1d_conv_component_wise_sinusoidal,0.1748,3,2.5116,0.2451,2.8999,0.1689,2.8527,0.2615,11,39,217,2652,3353,663,78,94.57
PhonemeSpectra,linear_circular_conv_sinusoidal,0.0736,3,3.285,0.0958,3.5082,0.0679,3.4271,0.2554,11,39,217,2652,3353,663,41,72.42
PhonemeSpectra,1d_conv_circular_conv_sinusoidal,0.1631,3,2.6548,0.2093,2.948,0.1599,2.8898,0.2615,11,39,217,2652,3353,663,68,88.95
PhonemeSpectra,1d_conv_circular_conv_isolated_sinusoidal,0.1512,3,2.7011,0.2021,2.968,0.1584,2.9024,0.2616,11,39,217,2652,3353,663,58,84.58
PhonemeSpectra,linear_additive_sinusoidal,0.0283,4,,,,,3.6804,0.2539,11,39,217,2652,3353,663,1,37.92
PhonemeSpectra,linear_additive_isolated_sinusoidal,0.0188,4,,,,,3.7518,0.254,11,39,217,2652,3353,663,1,37.63
PhonemeSpectra,1d_conv_additive_sinusoidal,0.0215,4,,,,,3.715,0.2601,11,39,217,2652,3353,663,1,38.32
