dataset,linear_additive_1024,linear_additive_128,linear_additive_256,linear_additive_32,linear_additive_512,linear_additive_64,linear_circular_conv_1024,linear_circular_conv_128,linear_circular_conv_256,linear_circular_conv_32,linear_circular_conv_512,linear_circular_conv_64,linear_component_wise_1024,linear_component_wise_128,linear_component_wise_256,linear_component_wise_32,linear_component_wise_512,linear_component_wise_64
Heartbeat,0.5696 ± 0.0829,0.7165 ± 0.0216,0.7232 ± 0.0181,0.7311 ± 0.0122,0.7371 ± 0.0108,0.7372 ± 0.0152,0.7177 ± 0.0101,0.7280 ± 0.0042,0.7262 ± 0.0051,0.7371 ± 0.0133,0.7250 ± 0.0048,0.7257 ± 0.0115,0.7334 ± 0.0104,0.7305 ± 0.0108,0.7390 ± 0.0087,0.7311 ± 0.0067,0.7336 ± 0.0171,0.7299 ± 0.0053
InsectWingbeat,0.1301 ± 0.0144,0.5350 ± 0.0019,0.5051 ± 0.0015,0.5312 ± 0.0011,0.5378 ± 0.0082,0.5796 ± 0.0021,0.5526 ± 0.0106,0.6013 ± 0.0039,0.5898 ± 0.0030,0.5844 ± 0.0054,0.5707 ± 0.0043,0.6002 ± 0.0033,0.5710 ± 0.0022,0.6135 ± 0.0018,0.6098 ± 0.0036,0.6046 ± 0.0042,0.5979 ± 0.0020,0.6114 ± 0.0027
LSST,0.3176 ± 0.0093,0.5973 ± 0.0056,0.6016 ± 0.0075,0.5530 ± 0.0092,0.4881 ± 0.0313,0.5760 ± 0.0131,0.4906 ± 0.0072,0.5385 ± 0.0056,0.5462 ± 0.0089,0.5181 ± 0.0097,0.5336 ± 0.0104,0.5334 ± 0.0065,0.5317 ± 0.0082,0.5868 ± 0.0064,0.5890 ± 0.0089,0.5588 ± 0.0140,0.5728 ± 0.0091,0.5880 ± 0.0075
Libras,0.0820 ± 0.0150,0.4243 ± 0.0380,0.4035 ± 0.0567,0.4195 ± 0.0496,0.2965 ± 0.0108,0.4180 ± 0.0401,0.5535 ± 0.0320,0.6321 ± 0.0208,0.6083 ± 0.0285,0.5875 ± 0.0146,0.6306 ± 0.0119,0.5917 ± 0.0240,0.6292 ± 0.0177,0.6583 ± 0.0172,0.6458 ± 0.0172,0.6049 ± 0.0199,0.6472 ± 0.0105,0.6479 ± 0.0406
MotorImagery,0.4875 ± 0.0315,0.5067 ± 0.0252,0.5180 ± 0.0352,0.5450 ± 0.0205,0.4975 ± 0.0348,0.5038 ± 0.0264,,0.5062 ± 0.0409,0.4762 ± 0.0245,0.4850 ± 0.0214,0.4900 ± 0.0241,0.5462 ± 0.0392,0.4844 ± 0.0421,0.5567 ± 0.0288,0.5250 ± 0.0419,0.4700 ± 0.0390,0.5088 ± 0.0176,0.5022 ± 0.0319
NATOPS,0.4375 ± 0.0288,0.7673 ± 0.0277,0.7771 ± 0.0210,0.7410 ± 0.0264,0.6514 ± 0.0361,0.7375 ± 0.0278,0.7222 ± 0.0330,0.8653 ± 0.0192,0.7972 ± 0.0331,0.8383 ± 0.0423,0.7771 ± 0.0180,0.8472 ± 0.0138,0.7686 ± 0.0234,0.8764 ± 0.0160,0.8243 ± 0.0428,0.8722 ± 0.0160,0.7889 ± 0.0350,0.8896 ± 0.0188
PEMS-SF,0.1409 ± 0.0126,0.5918 ± 0.0320,0.6228 ± 0.0211,0.4928 ± 0.0476,0.6185 ± 0.0452,0.5636 ± 0.0188,0.6438 ± 0.0576,0.7471 ± 0.0177,0.7023 ± 0.0370,0.7066 ± 0.0276,0.6539 ± 0.0314,0.7240 ± 0.0266,0.8020 ± 0.0178,0.7572 ± 0.0219,0.7919 ± 0.0153,0.6994 ± 0.0284,0.8128 ± 0.0141,0.7226 ± 0.0197
PenDigits,0.1308 ± 0.0249,0.8390 ± 0.0074,0.8007 ± 0.0145,0.8710 ± 0.0137,0.4910 ± 0.0241,0.8580 ± 0.0156,0.9288 ± 0.0030,0.9433 ± 0.0033,0.9442 ± 0.0021,0.9357 ± 0.0076,0.9390 ± 0.0058,0.9442 ± 0.0046,0.9382 ± 0.0051,0.9560 ± 0.0039,0.9585 ± 0.0030,0.9488 ± 0.0030,0.9534 ± 0.0034,0.9573 ± 0.0027
PhonemeSpectra,0.0276 ± 0.0021,0.0514 ± 0.0013,0.0522 ± 0.0023,0.0542 ± 0.0040,0.0469 ± 0.0027,0.0528 ± 0.0016,0.0582 ± 0.0040,0.0649 ± 0.0033,0.0651 ± 0.0024,0.0655 ± 0.0054,0.0639 ± 0.0027,0.0686 ± 0.0022,0.0609 ± 0.0020,0.0629 ± 0.0018,0.0624 ± 0.0027,0.0696 ± 0.0019,0.0617 ± 0.0010,0.0680 ± 0.0021
RacketSports,0.3388 ± 0.0528,0.8063 ± 0.0122,0.7895 ± 0.0248,0.8002 ± 0.0318,0.7434 ± 0.0166,0.8330 ± 0.0088,0.7836 ± 0.0237,0.8339 ± 0.0064,0.8441 ± 0.0100,0.8347 ± 0.0160,0.8067 ± 0.0150,0.8421 ± 0.0107,0.8216 ± 0.0191,0.8504 ± 0.0168,0.8446 ± 0.0206,0.8322 ± 0.0244,0.8240 ± 0.0166,0.8437 ± 0.0205
SelfRegulationSCP1,0.6553 ± 0.0956,0.7342 ± 0.0203,0.7568 ± 0.0295,0.7286 ± 0.0135,0.7440 ± 0.0236,0.7700 ± 0.0250,0.7248 ± 0.0196,0.8272 ± 0.0149,0.8066 ± 0.0280,0.7743 ± 0.0127,0.7888 ± 0.0145,0.8208 ± 0.0078,0.7637 ± 0.0090,0.7999 ± 0.0173,0.7907 ± 0.0262,0.7624 ± 0.0096,0.7831 ± 0.0264,0.7880 ± 0.0150
SelfRegulationSCP2,0.5188 ± 0.0116,0.5403 ± 0.0161,0.5403 ± 0.0149,0.5236 ± 0.0203,0.5340 ± 0.0092,0.5339 ± 0.0105,0.5333 ± 0.0191,0.5549 ± 0.0104,,0.5361 ± 0.0136,0.5229 ± 0.0196,0.5437 ± 0.0152,0.5347 ± 0.0162,0.5403 ± 0.0102,0.5396 ± 0.0175,0.5292 ± 0.0131,0.5396 ± 0.0130,0.5382 ± 0.0138
SpokenArabicDigits,0.1946 ± 0.0406,0.9348 ± 0.0047,0.9310 ± 0.0053,0.9049 ± 0.0057,0.8457 ± 0.0209,0.9203 ± 0.0049,0.9553 ± 0.0043,0.9728 ± 0.0044,0.9758 ± 0.0029,0.9583 ± 0.0040,0.9679 ± 0.0059,0.9645 ± 0.0042,0.9760 ± 0.0029,0.9822 ± 0.0018,0.9856 ± 0.0017,0.9714 ± 0.0045,0.9820 ± 0.0034,0.9804 ± 0.0027
StandWalkJump,0.3259 ± 0.0828,0.3037 ± 0.0270,0.3000 ± 0.0298,0.3400 ± 0.0352,0.3333 ± 0.0516,0.3185 ± 0.0498,0.2500 ± 0.0494,0.3111 ± 0.0512,0.2889 ± 0.0444,0.3333 ± 0.0389,0.3417 ± 0.0465,0.2741 ± 0.0475,0.2867 ± 0.0392,0.3083 ± 0.0288,0.3166 ± 0.0258,0.3333 ± 0.0362,0.3583 ± 0.0289,0.3133 ± 0.0392
UWaveGestureLibraryAll,0.1230 ± 0.0016,0.7046 ± 0.0967,0.5576 ± 0.1678,0.3773 ± 0.1087,0.1381 ± 0.0101,0.3811 ± 0.1632,0.8785 ± 0.0058,0.8951 ± 0.0078,0.8952 ± 0.0049,0.8694 ± 0.0074,0.8928 ± 0.0094,0.8882 ± 0.0066,0.8725 ± 0.0094,0.8891 ± 0.0045,0.8834 ± 0.0093,0.8709 ± 0.0143,0.8843 ± 0.0080,0.8858 ± 0.0075
Average Test Accuracy,0.2784,0.5866,0.5803,0.5539,0.5284,0.5696,0.5875,0.6346,0.6328,0.6157,0.6199,0.6335,0.6157,0.6472,0.6441,0.6239,0.6351,0.6389
