dataset,model,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
SelfRegulationSCP2,linear_component_wise_N_L_8,0.5358,0.0118,9,0.0091,0.5358 ± 0.0091
SpokenArabicDigits,linear_additive_N_L_1,0.9289,0.0072,8,0.0060,0.9289 ± 0.0060
SpokenArabicDigits,linear_additive_N_L_2,0.9521,0.0060,8,0.0050,0.9521 ± 0.0050
SpokenArabicDigits,linear_additive_N_L_4,0.9519,0.0088,9,0.0068,0.9519 ± 0.0068
SpokenArabicDigits,linear_additive_N_L_8,0.9342,0.0080,8,0.0067,0.9342 ± 0.0067
SpokenArabicDigits,linear_circular_conv_N_L_1,0.9702,0.0039,8,0.0033,0.9702 ± 0.0033
SpokenArabicDigits,linear_circular_conv_N_L_2,0.9759,0.0050,9,0.0038,0.9759 ± 0.0038
SpokenArabicDigits,linear_circular_conv_N_L_4,0.9720,0.0033,8,0.0027,0.9720 ± 0.0027
SpokenArabicDigits,linear_circular_conv_N_L_8,0.9645,0.0045,8,0.0037,0.9645 ± 0.0037
SpokenArabicDigits,linear_component_wise_N_L_1,0.9733,0.0082,8,0.0069,0.9733 ± 0.0069
SpokenArabicDigits,linear_component_wise_N_L_2,0.9817,0.0023,8,0.0020,0.9817 ± 0.0020
SpokenArabicDigits,linear_component_wise_N_L_4,0.9756,0.0069,8,0.0058,0.9756 ± 0.0058
SpokenArabicDigits,linear_component_wise_N_L_8,0.9679,0.0087,8,0.0073,0.9679 ± 0.0073
StandWalkJump,linear_additive_N_L_1,0.3852,0.0801,9,0.0616,0.3852 ± 0.0616
StandWalkJump,linear_additive_N_L_2,0.3334,0.0617,8,0.0516,0.3334 ± 0.0516
StandWalkJump,linear_additive_N_L_4,0.3259,0.0521,9,0.0400,0.3259 ± 0.0400
StandWalkJump,linear_additive_N_L_8,0.3250,0.0427,8,0.0357,0.3250 ± 0.0357
StandWalkJump,linear_circular_conv_N_L_1,0.3200,0.0984,10,0.0704,0.3200 ± 0.0704
StandWalkJump,linear_circular_conv_N_L_2,0.2741,0.0521,9,0.0400,0.2741 ± 0.0400
StandWalkJump,linear_circular_conv_N_L_4,0.3267,0.0492,10,0.0352,0.3267 ± 0.0352
StandWalkJump,linear_circular_conv_N_L_8,0.3111,0.0333,9,0.0256,0.3111 ± 0.0256
StandWalkJump,linear_component_wise_N_L_1,0.3037,0.0588,9,0.0452,0.3037 ± 0.0452
StandWalkJump,linear_component_wise_N_L_2,0.2963,0.0889,9,0.0683,0.2963 ± 0.0683
StandWalkJump,linear_component_wise_N_L_4,0.2834,0.0471,8,0.0394,0.2834 ± 0.0394
StandWalkJump,linear_component_wise_N_L_8,0.3167,0.0471,8,0.0394,0.3167 ± 0.0394
UWaveGestureLibraryAll,linear_additive_N_L_1,0.9025,0.0050,8,0.0042,0.9025 ± 0.0042
UWaveGestureLibraryAll,linear_additive_N_L_2,0.5320,0.1804,8,0.1508,0.5320 ± 0.1508
UWaveGestureLibraryAll,linear_additive_N_L_4,0.1479,0.0100,8,0.0084,0.1479 ± 0.0084
UWaveGestureLibraryAll,linear_additive_N_L_8,0.1270,0.0091,9,0.0070,0.1270 ± 0.0070
UWaveGestureLibraryAll,linear_circular_conv_N_L_1,0.8882,0.0026,8,0.0022,0.8882 ± 0.0022
UWaveGestureLibraryAll,linear_circular_conv_N_L_2,0.8959,0.0079,8,0.0066,0.8959 ± 0.0066
UWaveGestureLibraryAll,linear_circular_conv_N_L_4,0.8842,0.0098,8,0.0082,0.8842 ± 0.0082
UWaveGestureLibraryAll,linear_circular_conv_N_L_8,0.8340,0.0256,8,0.0214,0.8340 ± 0.0214
UWaveGestureLibraryAll,linear_component_wise_N_L_1,0.8827,0.0053,8,0.0044,0.8827 ± 0.0044
UWaveGestureLibraryAll,linear_component_wise_N_L_2,0.8982,0.0050,8,0.0042,0.8982 ± 0.0042
UWaveGestureLibraryAll,linear_component_wise_N_L_4,0.8948,0.0077,8,0.0065,0.8948 ± 0.0065
UWaveGestureLibraryAll,linear_component_wise_N_L_8,0.7418,0.1392,8,0.1164,0.7418 ± 0.1164
