dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
Epilepsy,1d_conv_additive_sinusoidal,0.2772 ± 0.0533,0.2772,0.0795,0.0533,8,10
Epilepsy,1d_conv_circular_conv_isolated_sinusoidal,0.8560 ± 0.0273,0.8560,0.0407,0.0273,8,10
Epilepsy,1d_conv_circular_conv_sinusoidal,0.8116 ± 0.0254,0.8116,0.0379,0.0254,8,10
Epilepsy,1d_conv_component_wise_sinusoidal,0.7482 ± 0.1341,0.7482,0.2002,0.1341,8,10
Epilepsy,linear_additive_isolated_sinusoidal,0.9323 ± 0.0100,0.9323,0.0162,0.0100,9,10
Epilepsy,linear_additive_sinusoidal,0.9302 ± 0.0211,0.9302,0.0315,0.0211,8,10
Epilepsy,linear_circular_conv_sinusoidal,0.8406 ± 0.0191,0.8406,0.0308,0.0191,9,10
Epilepsy,linear_component_wise_sinusoidal,0.7790 ± 0.1216,0.7790,0.1816,0.1216,8,10
EthanolConcentration,1d_conv_additive_sinusoidal,0.2638 ± 0.0076,0.2638,0.0113,0.0076,8,10
EthanolConcentration,1d_conv_circular_conv_isolated_sinusoidal,0.2652 ± 0.0069,0.2652,0.0103,0.0069,8,10
EthanolConcentration,1d_conv_circular_conv_sinusoidal,0.2640 ± 0.0054,0.2640,0.0087,0.0054,9,10
EthanolConcentration,1d_conv_component_wise_sinusoidal,0.2518 ± 0.0105,0.2518,0.0170,0.0105,9,10
EthanolConcentration,linear_additive_isolated_sinusoidal,0.2571 ± 0.0107,0.2571,0.0160,0.0107,8,10
EthanolConcentration,linear_additive_sinusoidal,0.2586 ± 0.0117,0.2586,0.0175,0.0117,8,10
EthanolConcentration,linear_circular_conv_sinusoidal,0.2695 ± 0.0071,0.2695,0.0106,0.0071,8,10
EthanolConcentration,linear_component_wise_sinusoidal,0.2529 ± 0.0084,0.2529,0.0125,0.0084,8,10
FaceDetection,1d_conv_additive_sinusoidal,0.4933 ± 0.0052,0.4933,0.0077,0.0052,8,10
FaceDetection,1d_conv_circular_conv_isolated_sinusoidal,0.5922 ± 0.0518,0.5922,0.0773,0.0518,8,10
FaceDetection,1d_conv_circular_conv_sinusoidal,0.6695 ± 0.0038,0.6695,0.0057,0.0038,8,10
