dataset,model,run,train_acc,train_loss,val_acc,val_loss,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
FaceDetection,1d_conv_circular_conv_sinusoidal,9,0.8358,0.3652,0.7742,0.546,0.7658,0.6705,0.3367,144,2,62,4712,3524,1178,15,10.43
FaceDetection,linear_additive_sinusoidal,10,0.5741,0.6733,0.5619,0.6939,0.694,0.5389,0.2665,144,2,62,4712,3524,1178,18,9.02
FaceDetection,1d_conv_additive_sinusoidal,10,0.5017,,0.5187,,,0.5082,0.3355,144,2,62,4712,3524,1178,2,5.19
FaceDetection,linear_circular_conv_sinusoidal,10,0.8296,0.3932,0.7657,0.5442,0.7336,0.6765,0.2676,144,2,62,4712,3524,1178,18,9.98
FaceDetection,1d_conv_circular_conv_sinusoidal,10,0.8442,0.3662,0.7674,0.539,0.7377,0.6743,0.3367,144,2,62,4712,3524,1178,16,10.78
InsectWingbeat,linear_additive_sinusoidal,1,0.6494,0.9547,0.5832,1.1613,1.1938,0.5683,0.2553,200,10,22,20000,25000,5000,52,28.4
InsectWingbeat,1d_conv_additive_sinusoidal,1,0.0979,,0.0964,,,0.0989,0.3518,200,10,22,20000,25000,5000,2,3.01
InsectWingbeat,linear_circular_conv_sinusoidal,1,0.6421,0.926,0.61,1.0496,1.0627,0.5995,0.2565,200,10,22,20000,25000,5000,65,37.95
InsectWingbeat,1d_conv_circular_conv_sinusoidal,1,0.6928,0.7783,0.5824,1.2118,1.2004,0.5702,0.3532,200,10,22,20000,25000,5000,45,31.69
InsectWingbeat,linear_additive_sinusoidal,2,0.6828,0.8576,0.5952,1.1589,1.1877,0.58,0.2553,200,10,22,20000,25000,5000,61,34.73
InsectWingbeat,1d_conv_additive_sinusoidal,2,0.1067,,0.1066,,,0.1101,0.3518,200,10,22,20000,25000,5000,2,3.32
InsectWingbeat,linear_circular_conv_sinusoidal,2,0.6637,0.8715,0.6168,1.0474,1.062,0.605,0.2565,200,10,22,20000,25000,5000,86,48.68
InsectWingbeat,1d_conv_circular_conv_sinusoidal,2,0.628,0.9426,0.5682,1.1695,1.1669,0.5642,0.3532,200,10,22,20000,25000,5000,32,21.88
InsectWingbeat,linear_additive_sinusoidal,3,0.6528,0.9499,0.5796,1.1669,1.187,0.5687,0.2553,200,10,22,20000,25000,5000,53,28.67
InsectWingbeat,1d_conv_additive_sinusoidal,3,0.1033,,0.106,,,0.1004,0.3518,200,10,22,20000,25000,5000,2,3.33
InsectWingbeat,linear_circular_conv_sinusoidal,3,0.6342,0.9421,0.5968,1.0725,1.0647,0.595,0.2565,200,10,22,20000,25000,5000,53,30.18
InsectWingbeat,1d_conv_circular_conv_sinusoidal,3,0.6843,0.7927,0.5822,1.1866,1.2093,0.5716,0.3532,200,10,22,20000,25000,5000,37,25.03
InsectWingbeat,linear_additive_sinusoidal,4,0.6739,0.8888,0.585,1.1868,1.1865,0.5792,0.2553,200,10,22,20000,25000,5000,59,31.46
InsectWingbeat,1d_conv_additive_sinusoidal,4,0.1026,,0.1068,,,0.1068,0.3518,200,10,22,20000,25000,5000,2,3.25
InsectWingbeat,linear_circular_conv_sinusoidal,4,0.6545,0.8868,0.6152,1.0375,1.0494,0.6049,0.2565,200,10,22,20000,25000,5000,74,40.71
InsectWingbeat,1d_conv_circular_conv_sinusoidal,4,0.6527,0.8818,0.5818,1.1551,1.1875,0.5634,0.3532,200,10,22,20000,25000,5000,38,25.81
InsectWingbeat,linear_additive_sinusoidal,5,0.6623,0.9096,0.583,1.1831,1.2,0.57,0.2553,200,10,22,20000,25000,5000,62,32.93
InsectWingbeat,1d_conv_additive_sinusoidal,5,0.0986,,0.0982,,,0.098,0.3518,200,10,22,20000,25000,5000,2,3.31
InsectWingbeat,linear_circular_conv_sinusoidal,5,0.6557,0.8882,0.6066,1.0672,1.0688,0.5981,0.2565,200,10,22,20000,25000,5000,65,35.86
InsectWingbeat,1d_conv_circular_conv_sinusoidal,5,0.7051,0.7512,0.59,1.156,1.1807,0.5813,0.3532,200,10,22,20000,25000,5000,51,33.39
InsectWingbeat,linear_additive_sinusoidal,6,0.6667,0.8964,0.5826,1.1937,1.2009,0.5767,0.2553,200,10,22,20000,25000,5000,60,31.92
InsectWingbeat,1d_conv_additive_sinusoidal,6,0.0981,,0.093,,,0.1006,0.3518,200,10,22,20000,25000,5000,2,3.25
InsectWingbeat,linear_circular_conv_sinusoidal,6,0.6468,0.9247,0.6056,1.0793,1.0699,0.5946,0.2565,200,10,22,20000,25000,5000,68,37.2
InsectWingbeat,1d_conv_circular_conv_sinusoidal,6,0.7007,0.7485,0.59,1.1722,1.1884,0.5766,0.3532,200,10,22,20000,25000,5000,38,25.8
InsectWingbeat,linear_additive_sinusoidal,7,0.6932,0.8266,0.5942,1.1756,1.1923,0.5794,0.2553,200,10,22,20000,25000,5000,78,40.51
InsectWingbeat,1d_conv_additive_sinusoidal,7,0.1063,,0.1114,,,0.1076,0.3518,200,10,22,20000,25000,5000,2,3.25
InsectWingbeat,linear_circular_conv_sinusoidal,7,0.6637,0.8664,0.6006,1.072,1.0538,0.602,0.2565,200,10,22,20000,25000,5000,58,32.6
InsectWingbeat,1d_conv_circular_conv_sinusoidal,7,0.6957,0.7592,0.583,1.1913,1.1719,0.5755,0.3532,200,10,22,20000,25000,5000,40,27.01
InsectWingbeat,linear_additive_sinusoidal,8,0.6545,0.931,0.58,1.1755,1.2124,0.5656,0.2553,200,10,22,20000,25000,5000,54,28.86
InsectWingbeat,1d_conv_additive_sinusoidal,8,0.0977,,0.0962,,,0.095,0.3518,200,10,22,20000,25000,5000,2,3.24
InsectWingbeat,linear_circular_conv_sinusoidal,8,0.6293,0.9459,0.6066,1.0549,1.0682,0.5913,0.2565,200,10,22,20000,25000,5000,56,31.7
InsectWingbeat,1d_conv_circular_conv_sinusoidal,8,0.6791,0.8164,0.5832,1.1714,1.1949,0.5739,0.3532,200,10,22,20000,25000,5000,35,24.17
InsectWingbeat,linear_additive_sinusoidal,9,0.6926,0.8456,0.5906,1.1785,1.1745,0.5865,0.2553,200,10,22,20000,25000,5000,64,33.71
