dataset,model,run,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,n_train_epochs,training_time_seconds
FaceDetection,linear_component_wise_sinusoidal,7,,,,,0.6927,0.517,0.7824,144,2,62,4712,3524,1178,1,65.41
FaceDetection,1d_conv_component_wise_sinusoidal,7,0.4507,0.7931,0.4996,0.7733,0.6683,0.6768,0.8563,144,2,62,4712,3524,1178,19,99.18
FaceDetection,linear_circular_conv_sinusoidal,7,0.3261,0.8689,0.5677,0.7716,0.8014,0.6711,0.7828,144,2,62,4712,3524,1178,17,97.81
FaceDetection,1d_conv_circular_conv_sinusoidal,7,0.2615,0.9004,0.6015,0.786,0.9066,0.677,0.8546,144,2,62,4712,3524,1178,17,96.09
FaceDetection,linear_additive_sinusoidal,8,,,,,0.7002,0.4861,0.7812,144,2,62,4712,3524,1178,1,63.76
FaceDetection,1d_conv_additive_sinusoidal,8,,,,,,0.4997,0.8532,144,2,62,4712,3524,1178,1,68.42
FaceDetection,linear_component_wise_sinusoidal,8,0.3469,0.8563,0.5824,0.7648,0.8075,0.6612,0.7828,144,2,62,4712,3524,1178,20,99.37
FaceDetection,1d_conv_component_wise_sinusoidal,8,,,,,0.7302,0.4986,0.8543,144,2,62,4712,3524,1178,1,67.02
FaceDetection,linear_circular_conv_sinusoidal,8,0.4275,0.8096,0.5202,0.7615,0.6835,0.6688,0.7828,144,2,62,4712,3524,1178,21,101.25
FaceDetection,1d_conv_circular_conv_sinusoidal,8,0.3675,0.8466,0.5249,0.7767,0.7443,0.6703,0.8546,144,2,62,4712,3524,1178,20,100.18
FaceDetection,linear_additive_sinusoidal,9,,,,,0.6929,0.5224,0.7812,144,2,62,4712,3524,1178,1,64.95
FaceDetection,1d_conv_additive_sinusoidal,9,,,,,0.7035,0.4855,0.8532,144,2,62,4712,3524,1178,1,66.19
FaceDetection,linear_component_wise_sinusoidal,9,,,,,0.694,0.5096,0.7824,144,2,62,4712,3524,1178,1,67.55
FaceDetection,1d_conv_component_wise_sinusoidal,9,0.3921,0.8226,0.5382,0.7758,0.733,0.6739,0.8546,144,2,62,4712,3524,1178,18,98.01
FaceDetection,linear_circular_conv_sinusoidal,9,0.3202,0.8671,0.5565,0.7708,0.8042,0.6725,0.7828,144,2,62,4712,3524,1178,18,99.28
FaceDetection,1d_conv_circular_conv_sinusoidal,9,0.4171,0.8162,0.5257,0.7708,0.7018,0.6725,0.8563,144,2,62,4712,3524,1178,18,95.86
FaceDetection,linear_additive_sinusoidal,10,,,,,0.7016,0.498,0.7812,144,2,62,4712,3524,1178,1,68.7
FaceDetection,1d_conv_additive_sinusoidal,10,,,,,0.7039,0.46,0.8532,144,2,62,4712,3524,1178,1,66.44
FaceDetection,linear_component_wise_sinusoidal,10,0.3801,0.8334,0.541,0.7665,0.7277,0.6742,0.7828,144,2,62,4712,3524,1178,19,100.41
FaceDetection,1d_conv_component_wise_sinusoidal,10,,,,,0.6911,0.5244,0.8543,144,2,62,4712,3524,1178,1,65.99
FaceDetection,linear_circular_conv_sinusoidal,10,0.3122,0.8782,0.5733,0.7691,0.8103,0.6748,0.7828,144,2,62,4712,3524,1178,18,97.21
FaceDetection,1d_conv_circular_conv_sinusoidal,10,0.3186,0.868,0.5587,0.7699,0.807,0.6655,0.8546,144,2,62,4712,3524,1178,20,106.11
InsectWingbeat,linear_additive_sinusoidal,1,,,,,,0.1124,0.7701,200,10,22,20000,25000,5000,1,57.01
InsectWingbeat,1d_conv_additive_sinusoidal,1,,,,,,0.1066,0.8694,200,10,22,20000,25000,5000,1,55.74
InsectWingbeat,linear_component_wise_sinusoidal,1,0.5785,0.7751,0.9871,0.6604,1.0107,0.648,0.7716,200,10,22,20000,25000,5000,26,197.06
InsectWingbeat,1d_conv_component_wise_sinusoidal,1,,,,,2.3377,0.1031,0.8705,200,10,22,20000,25000,5000,1,56.43
InsectWingbeat,linear_circular_conv_sinusoidal,1,0.8019,0.6824,1.1391,0.6,1.1441,0.5878,0.7716,200,10,22,20000,25000,5000,35,238.68
