dataset,model,run,train_acc,train_loss,val_acc,val_loss,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
FaceDetection,convtran,10,0.5,0.8212,0.4881,,,0.5014,9.3053,144,2,62,4712,3524,1178,2,12.58
FaceDetection,linear_mla,10,0.8196,0.4063,0.6758,0.7139,0.8207,0.6081,0.3195,144,2,62,4712,3524,1178,17,19.49
InsectWingbeat,linear_conv_adaptive_sin_pe,1,0.7126,0.7359,0.618,1.0485,1.0786,0.6077,0.2731,200,10,22,20000,25000,5000,29,52.22
InsectWingbeat,linear_rope,1,0.6953,0.7753,0.6032,1.1259,1.136,0.5957,0.2798,200,10,22,20000,25000,5000,35,37.37
InsectWingbeat,convtran,1,0.1553,,0.2164,,,0.2136,12.7525,200,10,22,20000,25000,5000,2,12.67
InsectWingbeat,linear_mla,1,0.7275,0.6947,0.6388,0.9859,1.0146,0.6274,0.3084,200,10,22,20000,25000,5000,30,35.68
InsectWingbeat,linear_conv_adaptive_sin_pe,2,0.7183,0.7288,0.6284,1.0163,1.0544,0.623,0.2731,200,10,22,20000,25000,5000,30,53.64
InsectWingbeat,linear_rope,2,0.6969,0.771,0.6098,1.101,1.12,0.5949,0.2798,200,10,22,20000,25000,5000,32,34.54
InsectWingbeat,convtran,2,0.2262,,0.3038,,,0.2874,12.7525,200,10,22,20000,25000,5000,2,12.67
InsectWingbeat,linear_mla,2,0.7389,0.6835,0.6424,0.9829,1.0183,0.6244,0.3084,200,10,22,20000,25000,5000,34,39.27
InsectWingbeat,linear_conv_adaptive_sin_pe,3,0.7235,0.6988,0.6312,1.0471,1.1069,0.6118,0.2731,200,10,22,20000,25000,5000,32,58.07
InsectWingbeat,linear_rope,3,0.6963,0.7873,0.6096,1.0962,1.1283,0.5937,0.2798,200,10,22,20000,25000,5000,34,35.37
InsectWingbeat,convtran,3,0.2664,,0.4008,,,0.3907,12.7525,200,10,22,20000,25000,5000,2,12.55
InsectWingbeat,linear_mla,3,0.7566,0.6367,0.6504,1.0049,1.042,0.6271,0.3084,200,10,22,20000,25000,5000,32,37.28
InsectWingbeat,linear_conv_adaptive_sin_pe,4,0.705,0.7528,0.6148,1.0539,1.0814,0.6099,0.2731,200,10,22,20000,25000,5000,30,54.41
InsectWingbeat,linear_rope,4,0.6782,0.8221,0.6092,1.0824,1.1017,0.5974,0.2798,200,10,22,20000,25000,5000,31,34.17
InsectWingbeat,convtran,4,0.1232,,0.1312,,,0.1344,12.7525,200,10,22,20000,25000,5000,2,12.74
InsectWingbeat,linear_mla,4,0.7074,0.7602,0.6464,0.9568,0.9873,0.6307,0.3084,200,10,22,20000,25000,5000,27,33.13
InsectWingbeat,linear_conv_adaptive_sin_pe,5,0.6934,0.7946,0.6222,1.0302,1.052,0.6076,0.2731,200,10,22,20000,25000,5000,31,56.14
InsectWingbeat,linear_rope,5,0.6736,0.8395,0.6048,1.074,1.1101,0.5963,0.2798,200,10,22,20000,25000,5000,24,26.4
InsectWingbeat,convtran,5,0.1184,,0.203,,,0.1957,12.7525,200,10,22,20000,25000,5000,2,12.69
InsectWingbeat,linear_mla,5,0.7416,0.6783,0.628,0.9982,1.0249,0.6245,0.3084,200,10,22,20000,25000,5000,27,32.66
InsectWingbeat,linear_conv_adaptive_sin_pe,6,0.7128,0.7278,0.6142,1.0342,1.0702,0.608,0.2731,200,10,22,20000,25000,5000,29,52.8
