model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
convtran,0.6071 ± 0.1148,0.6071,0.3207,0.1148,23,23
linear_conv_adaptive_sin_pe,0.6485 ± 0.1001,0.6485,0.2924,0.1001,25,25
linear_mla,0.6266 ± 0.0995,0.6266,0.2909,0.0995,25,25
linear_rope,0.6206 ± 0.0978,0.6206,0.2859,0.0978,25,25
